time,x,y,x1,y1,theta_left,theta_right,theta
3.68,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.7,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.72,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.74,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.76,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.78,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.8,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.82,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.84,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.86,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.88,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
3.9,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.92,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.94,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.96,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
3.98,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
4.0,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
4.02,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
4.04,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
4.06,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
4.08,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
4.1,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
4.12,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
4.14,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
4.16,48.0,169.0,91.0,170.0,0.0,-0.7990831790321913,-0.4378237807823959
4.18,48.0,169.0,91.0,170.0,0.0,-0.7990831790321913,-0.4378237807823959
4.2,48.0,169.0,91.0,170.0,0.0,-0.7990831790321913,-0.4378237807823959
4.22,48.0,169.0,91.0,170.0,0.0,-0.7990831790321913,-0.4378237807823959
4.24,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.26,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.28,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.3,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.32,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.34,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.36,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.38,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.4,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.42,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.44,48.0,169.0,92.0,170.0,0.0,0.0,0.0
